oni
-0.37
-0.26
-0.29
-0.3
-0.25
-0.16
-0.13
-0.15
-0.08
-0.05
0.07
0.19
0.47
0.66
0.72
0.79
1.07
1.58
1.97
2.18
2.23
2.18
1.92
1.54
1.29
1.06
0.72
0.31
-0.08
-0.46
-0.81
-1.0
-0.91
-0.6
-0.42
-0.34
-0.43
-0.51
-0.45
-0.3
-0.16
-0.24
-0.56
-0.92
-1.14
-1.04
-0.85
-0.77
-0.78
-0.78
-0.63
-0.49
-0.46
-0.4
-0.35
-0.27
-0.36
-0.49
-0.47
-0.31
-0.2
-0.12
-0.04
0.22
0.44
0.71
0.94
1.14
1.22
1.23
1.19
1.06
0.95
0.97
1.22
1.51
1.7
1.65
1.48
1.25
1.11
0.81
0.54
0.14
-0.31
-0.88
-1.3
-1.3
-1.11
-1.19
-1.48
-1.8
-1.85
-1.69
-1.43
-1.08
-0.83
-0.58
-0.4
-0.31
-0.27
-0.24
-0.22
-0.16
-0.05
0.14
0.21
0.28
0.29
0.29
0.31
0.33
0.38
0.39
0.35
0.4
0.41
0.41
0.26
0.22
0.26
0.45
0.64
0.73
0.64
0.62
0.79
1.21
1.53
1.71
1.63
1.48
1.29
1.06
0.73
0.37
0.09
-0.13
-0.25
-0.28
-0.13
0.09
0.3
0.5
0.67
0.7
0.57
0.32
0.25
0.15
0.1
0.04
0.06
0.06
0.07
0.17
0.31
0.42
0.41
0.44
0.43
0.55
0.74
1.01
1.09
0.96
0.72
0.53
0.3
0.14
-0.03
-0.24
-0.54
-0.81
-0.97
-1.0
-0.98
-0.9
-0.75
-0.59
-0.39
-0.31
-0.3
-0.27
-0.32
-0.35
-0.4
-0.45
-0.49
-0.5
-0.36
-0.1
0.28
0.75
1.22
1.6
1.9
2.14
2.33
2.4
2.39
2.24
1.93
1.44
0.99
0.45
-0.13
-0.78
-1.12
-1.31
-1.35
-1.48
-1.57
-1.55
-1.3
-1.07
-0.98
-1.02
-1.04
-1.1
-1.11
-1.16
-1.26
-1.46
-1.65
-1.66
-1.41
-1.07
-0.81
-0.71
-0.64
-0.55
-0.51
-0.55
-0.63
-0.75
-0.74
-0.68
-0.52
-0.44
-0.34
-0.25
-0.12
-0.08
-0.13
-0.19
-0.29
-0.35
-0.31
-0.15
0.03
0.09
0.2
0.43
0.65
0.79
0.86
1.01
1.21
1.31
1.14
0.92
0.63
0.38
-0.04
-0.26
-0.16
0.08
0.21
0.26
0.29
0.35
0.35
0.37
0.31
0.23
0.17
0.17
0.28
0.47
0.64
0.7
0.67
0.66
0.69
0.64
0.58
0.45
0.43
0.29
0.11
-0.06
-0.14
-0.11
-0.29
-0.57
-0.84
-0.85
-0.77
-0.57
-0.37
-0.14
-0.03
0.1
0.3
0.54
0.77
0.94
0.94
0.66
0.22
-0.12
-0.32
-0.38
-0.47
-0.56
-0.81
-1.07
-1.34
-1.5
-1.6
-1.64
-1.52
-1.29
-1.01
-0.84
-0.61
-0.37
-0.23
-0.24
-0.35
-0.55
-0.73
-0.85
-0.79
-0.61
-0.33
0.01
0.28
0.45
0.58
0.71
1.01
1.36
1.56
1.5
1.22
0.84
0.35
-0.17
-0.66
-1.05
-1.35
-1.56
-1.64
-1.64
-1.59
-1.42
-1.19
-0.93
-0.73
-0.55
-0.44
-0.48
-0.62
-0.83
-1.01
-1.09
-1.04
-0.86
-0.72
-0.59
-0.47
-0.26
-0.01
0.25
0.37
0.37
0.27
0.05
-0.21
-0.43
-0.43
-0.34
-0.3
-0.36
-0.41
-0.4
-0.32
-0.26
-0.18
-0.17
-0.27
-0.42
-0.46
-0.27
0.04
0.21
0.16
0.05
0.07
0.23
0.49
0.64
0.66
0.55
0.47
0.53
0.7
0.93
1.18
1.52
1.86
2.16
2.42
2.57
2.64
