wind_speed,t2m_c,sshf,net_radiation,e,number,expver,valid_time,oni,oni_3m_mean,oni_lag1,oni_lag3
-1.4545015035985154,1.3709341080903346,-1.458073240838212,1.3803245885885458,1.342400444139629,0.0,0.0,1981-04-01,-0.37,-0.4466666666666666,-0.47,-0.26
-0.5617121103379611,1.3864145251359148,-1.6612204009394658,0.1836769547873542,0.5708942028613541,0.0,0.0,1981-05-01,-0.26,-0.3666666666666667,-0.37,-0.5
1.1301409508481666,0.6257751541418228,-0.7954617510023021,-1.281398042551236,-1.2328922645737233,0.0,0.0,1981-06-01,-0.29,-0.3066666666666666,-0.26,-0.47
1.2747685503864474,-0.1577025493924471,0.8827583685215019,-1.6535828700788249,-0.4580146311106703,0.0,0.0,1981-07-01,-0.3,-0.2833333333333333,-0.29,-0.37
1.4825680189929655,-0.508422094413111,1.1826638843026662,-0.8364172952195988,-0.1741267801318682,0.0,0.0,1981-08-01,-0.25,-0.2799999999999999,-0.3,-0.26
0.4123138839264333,-0.6370955561532379,0.7555058757857164,-0.0451093955366578,0.5212095712966714,0.0,0.0,1981-09-01,-0.16,-0.2366666666666667,-0.25,-0.29
-0.8402749749781104,-0.5510661465294158,0.9232633704737742,0.5927050656319915,0.9057566155331273,0.0,0.0,1981-10-01,-0.13,-0.18,-0.16,-0.3
-0.5549424085310035,-1.174000382992264,0.6619377535667396,0.0762123179526104,0.4189512520605313,0.0,0.0,1981-11-01,-0.15,-0.1466666666666666,-0.13,-0.25
-0.3863117043870825,-1.7804874421555366,0.3312234625842396,-0.2968212266029633,0.4158349641677423,0.0,0.0,1981-12-01,-0.08,-0.12,-0.15,-0.16
-0.4462468411599291,-1.6917599259673342,-0.1056899728922005,-0.0506325625671548,0.634577446241259,0.0,0.0,1982-01-01,-0.05,-0.0933333333333333,-0.08,-0.13
-0.4671451035867027,-1.0568483999191938,-0.8157942818900017,0.7770761887282974,0.7240347265884594,0.0,0.0,1982-02-01,0.07,-0.02,-0.05,-0.15
-0.8797283208342132,0.1336647777027,-1.837455036602324,1.612445081104266,0.8192235862366909,0.0,0.0,1982-03-01,0.19,0.07,0.07,-0.08
-1.264142552793515,1.1002449128664271,-1.5028017391507065,1.422852974723373,1.1787701736505398,0.0,0.0,1982-04-01,0.47,0.2433333333333333,0.19,-0.05
-0.4798949597049609,1.456926758769135,-2.032989488403674,0.3184422303314814,0.0315439690539868,0.0,0.0,1982-05-01,0.66,0.44,0.47,0.07
1.5972498375671995,0.8687909902574147,-1.1108799140247758,-1.304293160333414,-1.9363234531193592,0.0,0.0,1982-06-01,0.72,0.6166666666666666,0.66,0.19
1.81380049783464,0.0154333069442448,-0.1052969492854156,-1.6303479763144042,-1.3497997115696585,0.0,0.0,1982-07-01,0.79,0.7233333333333333,0.72,0.47
1.737471267155553,-0.4863201660714758,0.8933837096566796,-1.2248434146983849,-0.5604066438924274,0.0,0.0,1982-08-01,1.07,0.86,0.79,0.66
0.5664773809718772,-0.5181276811962399,0.2937239675162101,0.1082206613351085,0.240291087035086,0.0,0.0,1982-09-01,1.58,1.1466666666666667,1.07,0.72
-0.8821892236406282,-0.5168068097718982,0.2880851476514984,0.6004447287509054,1.046091376217736,0.0,0.0,1982-10-01,1.97,1.54,1.58,0.79
-0.9966114760100104,-0.7878439896753179,0.7252863619195189,0.0324809802551201,0.97955143718291,0.0,0.0,1982-11-01,2.18,1.91,1.97,1.07
-0.722533233972378,-1.306156142123835,0.3919738395616194,-0.6612851871298051,0.5630077009160461,0.0,0.0,1982-12-01,2.23,2.1266666666666665,2.18,1.58
-0.6351206608363738,-1.416804242524914,-0.1200356086148974,-0.2244417131090678,0.6749748643314711,0.0,0.0,1983-01-01,2.18,2.1966666666666668,2.23,1.97
-1.0340363500807692,-0.5651448224716126,0.0148142442185752,0.6408708413615589,1.4400229514919007,0.0,0.0,1983-02-01,1.92,2.11,2.18,2.18
-1.1863755315579494,0.5737097844172019,-1.2657997338580127,1.5848379210832426,1.4388636442094171,0.0,0.0,1983-03-01,1.54,1.88,1.92,2.23
-0.9456885316657287,1.469272863102783,-2.253429139053394,1.495802155183241,0.5495939393109772,0.0,0.0,1983-04-01,1.29,1.5833333333333333,1.54,2.18
-0.1589819186344217,1.82089912876724,-1.5941482090986927,0.5676411649844351,0.6134793764630506,0.0,0.0,1983-05-01,1.06,1.2966666666666666,1.29,1.92
1.0173855707808233,1.2740277266354532,-0.992936105933934,-1.0276692434201284,-1.1633938243748556,0.0,0.0,1983-06-01,0.72,1.0233333333333334,1.06,1.54
1.662234456041204,0.3931081863471883,0.3865153610729634,-1.5231378100025317,-1.169836624993647,0.0,0.0,1983-07-01,0.31,0.6966666666666667,0.72,1.29
1.2499954442031669,-0.1806033721391559,1.3243042203172468,-1.111028581633813,-0.4935645952377351,0.0,0.0,1983-08-01,-0.08,0.3166666666666666,0.31,1.06
0.7445562053122354,-0.3888942581936591,0.6576654718494679,-0.2457319315708658,-0.0350784064603804,0.0,0.0,1983-09-01,-0.46,-0.0766666666666666,-0.08,0.72
-0.7369201055546043,-0.6241907158553045,0.7913488613144078,0.3153611128074005,0.6713934835211578,0.0,0.0,1983-10-01,-0.81,-0.45,-0.46,0.31
-0.5816204347793218,-1.305126891663313,0.6018791419893076,0.0315787665831227,0.4535596923840148,0.0,0.0,1983-11-01,-1.0,-0.7566666666666667,-0.81,-0.08
-0.4209736105239145,-1.7340167838627767,0.5352016182055584,-0.6259788479366881,0.4391557481937422,0.0,0.0,1983-12-01,-0.91,-0.9066666666666668,-1.0,-0.46
