wind_speed,t2m_c,sshf,net_radiation,e,number,expver,valid_time
-0.42707211626540686,-1.5942825555664948,,,,0.0,0.0,1981-01-01 00:00:00
-0.42957686289709784,-1.5888520340890497,-0.5299093488345695,0.04030161126767471,0.23568338386487353,0.0,0.0,1981-01-01 06:00:00
-0.7376920796560811,-0.9207484059871042,-0.9818404520308042,1.063497220772119,1.0108761183700674,0.0,0.0,1981-02-01 00:00:00
-0.7437907647179224,-0.9088409583973497,-0.9855147020116688,1.071818117698954,1.0171788478359418,0.0,0.0,1981-02-01 06:00:00
-1.4207552071625287,0.4128955264508085,-0.8761911020662987,1.810252536979213,2.1448543791513446,0.0,0.0,1981-03-01 00:00:00
-1.4210272361316207,0.42062225669375763,-0.8752060763739797,1.816906362810194,2.1550139075798094,0.0,0.0,1981-03-01 06:00:00
-1.4545015035985154,1.3709341080903346,-1.458073240838212,1.3803245885885458,1.342400444139629,0.0,0.0,1981-04-01 00:00:00
-1.4470615023278366,1.371062764397902,-1.4628119982728804,1.37677790567603,1.3357937153924673,0.0,0.0,1981-04-01 06:00:00
-0.5617121103379611,1.3864145251359148,-1.6612204009394658,0.1836769547873542,0.5708942028613541,0.0,0.0,1981-05-01 00:00:00
-0.5480680733005356,1.380279457212279,-1.6628873253303067,0.1736528403835752,0.564466283326262,0.0,0.0,1981-05-01 06:00:00
1.1301409508481666,0.6257751541418228,-0.7954617510023021,-1.281398042551236,-1.2328922645737233,0.0,0.0,1981-06-01 00:00:00
1.1313463422326324,0.6192455402083178,-0.7884103483834968,-1.293229476009497,-1.2475052525588188,0.0,0.0,1981-06-01 06:00:00
1.2747685503864474,-0.15770254939244713,0.8827583685215019,-1.6535828700788249,-0.45801463111067037,0.0,0.0,1981-07-01 00:00:00
1.276444299045751,-0.16053053756255894,0.8968019735505601,-1.6566119368141368,-0.45138026606520865,0.0,0.0,1981-07-01 06:00:00
1.4825680189929655,-0.508422094413111,1.1826638843026662,-0.8364172952195988,-0.17412678013186828,0.0,0.0,1981-08-01 00:00:00
1.4739369719657223,-0.5094586966626401,1.1849880406384667,-0.829749010836182,-0.171872886470609,0.0,0.0,1981-08-01 06:00:00
0.4123138839264333,-0.6370955561532379,0.7555058757857164,-0.04510939553665783,0.5212095712966714,0.0,0.0,1981-09-01 00:00:00
0.40187564642423523,-0.6363787567253703,0.7520141597812238,-0.038730282201958136,0.5268443054498196,0.0,0.0,1981-09-01 06:00:00
-0.8402749749781104,-0.5510661465294158,0.9232633704737742,0.5927050656319915,0.9057566155331273,0.0,0.0,1981-10-01 00:00:00
-0.8379739362626283,-0.5560898690153149,0.9247022644316695,0.5980128002311943,0.9089409312371131,0.0,0.0,1981-10-01 06:00:00
-0.5549424085310035,-1.174000382992264,0.6619377535667396,0.07621231795261042,0.41895125206053135,0.0,0.0,1981-11-01 00:00:00
-0.5535370749576531,-1.1790559632305149,0.6598010645580247,0.07197017866793025,0.414967137159623,0.0,0.0,1981-11-01 06:00:00
-0.38631170438708257,-1.7804874421555366,0.3312234625842396,-0.2968212266029633,0.4158349641677423,0.0,0.0,1981-12-01 00:00:00
-0.38679542102790293,-1.7797706427276687,0.3284618824852388,-0.2999211402452108,0.41584275902110823,0.0,0.0,1981-12-01 06:00:00
-0.4462468411599291,-1.6917599259673342,-0.10568997289220053,-0.05063256256715485,0.634577446241259,0.0,0.0,1982-01-01 00:00:00
-0.4464154022877773,-1.6866394049262152,-0.10921951125215859,-0.048604027660404246,0.6363560900548495,0.0,0.0,1982-01-01 06:00:00
-0.46714510358670275,-1.0568483999191938,-0.8157942818900017,0.7770761887282974,0.7240347265884594,0.0,0.0,1982-02-01 00:00:00
-0.47082870219124073,-1.046218938317925,-0.821538894719999,0.7837878487690217,0.7247473651522826,0.0,0.0,1982-02-01 06:00:00
-0.8797283208342132,0.13366477770270008,-1.837455036602324,1.612445081104266,0.8192235862366909,0.0,0.0,1982-03-01 00:00:00
-0.882828411023837,0.14146012464301844,-1.8466074984746974,1.619912923437386,0.8200751149150427,0.0,0.0,1982-03-01 06:00:00
-1.264142552793515,1.1002449128664271,-1.5028017391507065,1.4228529747233727,1.1787701736505398,0.0,0.0,1982-04-01 00:00:00
-1.2576070433620574,1.1032174862202802,-1.5000067218968751,1.4212524129687234,1.181686629847937,0.0,0.0,1982-04-01 06:00:00
-0.47989495970496093,1.456926758769135,-2.032989488403674,0.31844223033148145,0.03154396905398686,0.0,0.0,1982-05-01 00:00:00
-0.46314383898430916,1.4521848548617113,-2.0374689708508815,0.3091728523648541,0.021878350879734807,0.0,0.0,1982-05-01 06:00:00
1.5972498375671997,0.8687909902574147,-1.1108799140247758,-1.304293160333414,-1.9363234531193594,0.0,0.0,1982-06-01 00:00:00
1.5990545175572726,0.8616781343962749,-1.1033466874863544,-1.3174099591032227,-1.9522433781855433,0.0,0.0,1982-06-01 06:00:00
1.8138004978346398,0.015433306944244825,-0.10529694928541566,-1.6303479763144042,-1.3497997115696585,0.0,0.0,1982-07-01 00:00:00
1.8131848014171204,0.011387372395845294,-0.096910253073683,-1.6329765411472428,-1.3447365999967082,0.0,0.0,1982-07-01 06:00:00
1.737471267155553,-0.4863201660714758,0.8933837096566796,-1.2248434146983849,-0.5604066438924274,0.0,0.0,1982-08-01 00:00:00
1.7280279886085326,-0.4865774786866064,0.9014343898698648,-1.2215266227695996,-0.5540306900464436,0.0,0.0,1982-08-01 06:00:00
0.5664773809718772,-0.5181276811962399,0.29372396751621016,0.10822066133510858,0.240291087035086,0.0,0.0,1982-09-01 00:00:00
