valid_time,wind_speed,t2m_c,sshf,net_radiation,e,number,expver
1983-02-01 00:00:00,3.4353652,25.35087,-1.5045481e+06,5.5489376e+07,-0.0036090966,0,0001
1983-02-01 06:00:00,3.4338481,25.359169,-1.504342e+06,5.5499068e+07,-0.0036064666,0,0001
1983-03-01 00:00:00,3.2654579,26.280321,-1.7381728e+06,5.6795132e+07,-0.0036095874,0,0001
1983-03-01 06:00:00,3.2676227,26.286215,-1.7402794e+06,5.680681e+07,-0.0036096156,0,0001
1983-04-01 00:00:00,3.5339015,27.011215,-1.9183478e+06,5.6671972e+07,-0.0039860653,0,0001
1983-04-01 06:00:00,3.5412133,27.013607,-1.9197955e+06,5.6670876e+07,-0.003989126,0,0001
1983-05-01 00:00:00,4.411333,27.298187,-1.798074e+06,5.538808e+07,-0.003959019,0,0001
1983-05-01 06:00:00,4.421914,27.294588,-1.7970511e+06,5.53773e+07,-0.0039587663,0,0001
1983-06-01 00:00:00,5.723362,26.85187,-1.6883938e+06,5.3181344e+07,-0.0047112694,0,0001
1983-06-01 06:00:00,5.7293553,26.845879,-1.6875104e+06,5.3163492e+07,-0.0047173873,0,0001
1983-07-01 00:00:00,6.4425764,26.132927,-1.436738e+06,5.249598e+07,-0.004713997,0,0001
1983-07-01 06:00:00,6.4388685,26.12915,-1.4346306e+06,5.2490372e+07,-0.0047139684,0,0001
1983-08-01 00:00:00,5.982797,25.664705,-1.2656555e+06,5.3066036e+07,-0.004427693,0,0001
1983-08-01 06:00:00,5.978251,25.663334,-1.2642818e+06,5.3070716e+07,-0.0044253655,0,0001
1983-09-01 00:00:00,5.4190693,25.494713,-1.3872716e+06,5.426297e+07,-0.00423359,0,0001
1983-09-01 06:00:00,5.4053,25.493113,-1.3882715e+06,5.427266e+07,-0.004232031,0,0001
1983-10-01 00:00:00,3.7667456,25.302681,-1.3628835e+06,5.503911e+07,-0.0039345007,0,0001
1983-10-01 06:00:00,3.7681425,25.298199,-1.3626701e+06,5.504555e+07,-0.0039320006,0,0001
1983-11-01 00:00:00,3.9399548,24.74695,-1.3974488e+06,5.4646564e+07,-0.004026722,0,0001
1983-11-01 06:00:00,3.941448,24.744034,-1.3977315e+06,5.464332e+07,-0.0040274924,0,0001
1983-12-01 00:00:00,4.1191278,24.396921,-1.4096129e+06,5.3736988e+07,-0.00403282,0,0001
1983-12-01 06:00:00,4.1198654,24.397007,-1.4097128e+06,5.3729372e+07,-0.0040328647,0,0001
1984-01-01 00:00:00,4.21061,24.407581,-1.4781412e+06,5.3982216e+07,-0.004004791,0,0001
1984-01-01 06:00:00,4.209934,24.411537,-1.4786976e+06,5.398427e+07,-0.0040045627,0,0001
1984-02-01 00:00:00,4.1268177,24.898119,-1.5216611e+06,5.5260348e+07,-0.0038415964,0,0001
1984-02-01 06:00:00,4.1200576,24.907942,-1.5220104e+06,5.5270724e+07,-0.0038402714,0,0001
1984-03-01 00:00:00,3.3426466,26.037619,-1.6366176e+06,5.6742e+07,-0.0033952557,0,0001
1984-03-01 06:00:00,3.344757,26.044672,-1.6376142e+06,5.675479e+07,-0.003391386,0,0001
1984-04-01 00:00:00,3.6043344,26.912176,-1.8317554e+06,5.6323056e+07,-0.0038802677,0,0001
1984-04-01 06:00:00,3.6144526,26.91116,-1.8333338e+06,5.6319544e+07,-0.0038842424,0,0001
1984-05-01 00:00:00,4.8185306,26.790146,-1.8050506e+06,5.4687736e+07,-0.0042351806,0,0001
1984-05-01 06:00:00,4.831858,26.78417,-1.804813e+06,5.4674024e+07,-0.0042381296,0,0001
1984-06-01 00:00:00,6.471171,26.049143,-1.4807556e+06,5.2540876e+07,-0.0045174453,0,0001
1984-06-01 06:00:00,6.469095,26.041798,-1.478121e+06,5.2523532e+07,-0.0045197164,0,0001
1984-07-01 00:00:00,6.222099,25.167643,-1.4403368e+06,5.185721e+07,-0.004630957,0,0001
1984-07-01 06:00:00,6.222252,25.16627,-1.4400192e+06,5.185161e+07,-0.0046318914,0,0001
1984-08-01 00:00:00,6.241094,24.99744,-1.2722551e+06,5.311013e+07,-0.004252352,0,0001
1984-08-01 06:00:00,6.227515,24.997284,-1.2708912e+06,5.312036e+07,-0.0042492663,0,0001
1984-09-01 00:00:00,4.55733,24.978146,-1.3778032e+06,5.4715572e+07,-0.0038594007,0,0001
1984-09-01 06:00:00,4.552349,24.977676,-1.3786725e+06,5.472854e+07,-0.003856231,0,0001
1984-10-01 00:00:00,3.9596138,24.921839,-1.345907e+06,5.532888e+07,-0.0037883637,0,0001
1984-10-01 06:00:00,3.961417,24.92108,-1.3456316e+06,5.5333924e+07,-0.0037877935,0,0001
1984-11-01 00:00:00,4.183211,24.82777,-1.3853879e+06,5.454409e+07,-0.0038098842,0,0001
1984-11-01 06:00:00,4.181688,24.825665,-1.3857111e+06,5.4537668e+07,-0.0038100637,0,0001
1984-12-01 00:00:00,4.000432,24.5752,-1.4439999e+06,5.418212e+07,-0.003968646,0,0001
